"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","List all events - Workshop event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Workshop event","events.spec.ts","",""
"","84","Update an event - Conference event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Conference event","events.spec.ts","",""
"","66","Delete an event - Conference event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Conference event","events.spec.ts","",""
"","3857","User creation with valid credentials","chromium","2026-07-09","passed","2026-07-09","","auth.spec.ts","",""
"","66","Update an event - Free meetup event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Free meetup event","events.spec.ts","",""
"","69","Get a single event - Conference event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Conference event","events.spec.ts","",""
"","142","Get profile","chromium","2026-07-09","passed","2026-07-09","","profile.spec.ts","",""
"","237","Create an event - Free meetup event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Free meetup event","events.spec.ts","",""
"","109","Create booking of event","chromium","2026-07-09","passed","2026-07-09","Bookings CRUD operations","booking.spec.ts","",""
"","66","Get a single event - Free meetup event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Free meetup event","events.spec.ts","",""
"","4895","User login with valid credentials","chromium","2026-07-09","passed","2026-07-09","","auth.spec.ts","",""
"","130","List all events - Conference event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Conference event","events.spec.ts","",""
"","3746","Create an event - Conference event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Conference event","events.spec.ts","",""
"","4847","Get a valid event ID to book","chromium","2026-07-09","passed","2026-07-09","Bookings CRUD operations","booking.spec.ts","",""
"","51","Create an event - Workshop event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Workshop event","events.spec.ts","",""
"","67","Delete an event - Free meetup event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Free meetup event","events.spec.ts","",""
"","90","Delete an event - Workshop event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Workshop event","events.spec.ts","",""
"","82","Update an event - Workshop event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Workshop event","events.spec.ts","",""
"","68","List all events - Free meetup event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Free meetup event","events.spec.ts","",""
"","61","Get a single event - Workshop event","chromium","2026-07-09","passed","2026-07-09","Events CRUD flow - Workshop event","events.spec.ts","",""
"","68","Delete specific booking","chromium","2026-07-09","passed","2026-07-09","Bookings CRUD operations","booking.spec.ts","",""
"","85","List all bookings","chromium","2026-07-09","passed","2026-07-09","Bookings CRUD operations","booking.spec.ts","",""
"","67","Get a single booking of event","chromium","2026-07-09","passed","2026-07-09","Bookings CRUD operations","booking.spec.ts","",""
